Aaron Eckhart,Aaron Eckhart,3 718
Abbé Pierre,Abbé Pierre,12 409
Abdel Fattas al-Sissi,NULL,NULL
Abdelaziz Bouteflika,Abdelaziz Bouteflika,18 135
Abebe Bikila,Abebe Bikila,659
Abraham Lincoln,Abraham Lincoln,29 229
Achille Zavatta,Achille Zavatta,2 380
Adama Traoré,Affaire Adama Traoré,11 389
Adb Al Malik,Omeyyades de Cordoue,729
Adele,Adele,12 849
Adolf Hitler,Adolf Hitler,92 896
Adriana Karembeu,Adriana Karembeu,57 267
Agatha Christie,Agatha Christie,20 688
Agnès Jaoui,Agnès Jaoui,22 058
Agnès Varda,Agnès Varda,12 241
Ahmed Chah Massoud,Ahmed Chah Massoud,7 010
Akhenaton,Akhenaton,7 621
Akon,Akon,9 506
Al Capone,Al Capone,25 821
Al Gore,Al Gore,4 194
Alain Bashung,Alain Bashung,13 431
Alain Bernard,Alain Bernard,6 532
Alain Chabat,Alain Chabat,51 631
Alain Chamfort,Alain Chamfort,29 682
Alain Colas,Alain Colas,7 713
Alain Delon,Alain Delon,69 313
Alain Juppé,Alain Juppé,9 684
Alain Prost,Alain Prost,13 044
Alain Resnais,Alain Resnais,4 790
Alain Souchon,Alain Souchon,30 609
Alain-Fournier,Alain-Fournier,3 543
Alassane Ouattara,Alassane Ouattara,10 111
Albert Camus,Albert Camus,65 857
Albert Einstein,Albert Einstein,84 649
Albert Fert,Albert Fert,691
Albert Schweitzer,Albert Schweitzer,12 468
Albert Uderzo,Albert Uderzo,5 347
Alberto Giacometti,Alberto Giacometti,13 499
Alec Baldwin,Alec Baldwin,13 043
Alejandro Gonzalez Iñárritu,Alejandro González Iñárritu,3 864
Alessandra Ambrosio,Alessandra Ambrosio,4 345
Alessandro Volta,Alessandro Volta,6 703
Alex Beaupain,Alex Beaupain,2 145
Alex Métayer,Alex Métayer,1 515
Alexa Chung,Alexa Chung,2 905
Alexander Fleming,Alexander Fleming,5 794
Alexander Graham Bell,Alexander Graham Bell,11 183
Alexandra David-Néel,Alexandra David-Néel,6 559
Alexandra Lamy,Alexandra Lamy,23 291
Alexandre Astier,Alexandre Astier,38 643
Alexandre Dumas,Alexandre Dumas,26 650
Alexandre le Grand,Alexandre le Grand,36 813
